#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-02-22T10:47:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60338a8c24f1	
#INFO	-out.max=unlimited	
#INFO	queryParameters=14	
#-oc.form=dec
#-out.max=unlimited
#-sort=_r
#-nav=cat:IX/10A&tab:{IX/10A/1rxs}&key:source=IX/10A/1rxs&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=IX/10A/1rxs
#-order=I
#-out=1RXS
#-out=RAJ2000
#-out=DEJ2000
#-out=Count
#

#RESOURCE=yCat_9010
#Name: IX/10A
#Title: ROSAT All-Sky Bright Source Catalogue (1RXS) (Voges+ 1999)
#Table	IX_10A_1rxs:
#Name: IX/10A/1rxs
#Title: The 1RXS catalogue
#Column	1RXS	(A16)	ROSAT All-Sky Survey Catalogue source name (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right ascension (J2000), decimal degrees	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000), decimal degrees	[ucd=pos.eq.dec;meta.main]
#Column	Count	(E9.2)	? Source countrate (4)	[ucd=phot.count;em.X-ray]
Name;deg;deg;ct/s
J000320.4-524727;000.83500;-52.79083; 3.07e-01
J000325.6-193322;000.85667;-19.55611; 5.06e-02
J000342.8+180828;000.92833;+18.14125; 1.03e-01
J000350.4+020340;000.96000;+02.06125; 2.05e-01
J000359.1+433600;000.99625;+43.60000; 3.20e-01
J000409.2+452618;001.03833;+45.43847; 1.35e-01
J000416.8-290240;001.07000;-29.04458; 1.00e-01
J000419.5-642517;001.08125;-64.42152; 8.13e-02
J000442.5+170422;001.17708;+17.07292; 6.94e-02
J000445.4-634827;001.18917;-63.80764; 6.69e-02
J000453.0+343934;001.22083;+34.65958; 6.28e-01
J000454.0-290929;001.22500;-29.15806; 5.42e-02
J000459.1+114205;001.24625;+11.70153; 1.48e-01
J000512.2-300648;001.30083;-30.11347; 7.66e-02
J000513.2-625050;001.30500;-62.84736; 6.37e-02
J000519.1-293004;001.32958;-29.50125; 5.55e-02
J000520.1+064816;001.33379;+06.80446; 7.41e-02
J000521.2-742632;001.33833;-74.44236; 3.61e-01
J000522.7+161306;001.34458;+16.21847; 7.62e-02
J000537.0-214111;001.40417;-21.68639; 1.29e-01
J000539.8-075407;001.41583;-07.90208; 1.41e-01
J000543.1-500703;001.42958;-50.11750; 3.79e-01
J000545.1-080822;001.43792;-08.13958; 6.38e-02
J000547.7+020306;001.44875;+02.05167; 2.23e-01
J000549.4+543319;001.45583;+54.55542; 5.60e-02
J000550.0+102249;001.45833;+10.38028; 7.34e-02
J000552.5-414521;001.46875;-41.75583; 1.48e-01
J000556.1-203850;001.48375;-20.64722; 5.55e-02
J000558.2-275854;001.49250;-27.98181; 6.50e-02
J000559.1+160955;001.49625;+16.16528; 3.40e-01
J000604.7-344349;001.51958;-34.73042; 2.49e-01
J000605.0+634039;001.52083;+63.67750; 6.14e-02
J000608.2+094254;001.53417;+09.71514; 2.20e-01
J000613.5-062347;001.55625;-06.39639; 6.97e-02
J000615.1+582610;001.56292;+58.43625; 3.23e-01
J000615.1-291223;001.56292;-29.20653; 1.21e-01
J000618.9+201215;001.57875;+20.20431; 2.48e+00
J000620.3+105207;001.58458;+10.86875; 1.35e-01
J000626.9-405136;001.61208;-40.86000; 1.60e-01
J000630.6-673809;001.62750;-67.63597; 7.61e-02
J000636.8+290112;001.65333;+29.02014; 6.87e-01
J000637.1+434223;001.65458;+43.70639; 1.97e-01
J000637.5+552717;001.65625;+55.45472; 9.29e-02
J000647.2-332316;001.69667;-33.38778; 1.41e-01
J000654.1-070721;001.72542;-07.12250; 5.79e-02
J000709.8+005328;001.79083;+00.89125; 1.05e-01
J000714.2-103634;001.80917;-10.60944; 6.18e-02
J000720.5+421631;001.83542;+42.27542; 6.63e-02
J000724.1-423331;001.85042;-42.55875; 8.75e-02
J000729.3+024059;001.87208;+02.68306; 1.21e-01
J000730.5-450213;001.87708;-45.03695; 9.62e-02
J000732.4+331730;001.88500;+33.29181; 2.10e+00
J000740.8-635152;001.92000;-63.86458; 7.08e-02
J000742.4+602251;001.92667;+60.38083; 1.70e-01
J000744.0-695956;001.93333;-69.99889; 5.71e-02
J000751.8+553446;001.96583;+55.57944; 5.75e-02
J000758.5-115145;001.99375;-11.86250; 6.05e-02
J000758.7-141341;001.99458;-14.22806; 9.41e-02
J000801.6+322214;002.00667;+32.37056; 1.40e-01
J000802.4+534755;002.01000;+53.79861; 5.81e-02
J000803.2-030942;002.01333;-03.16167; 8.16e-02
J000805.6+145027;002.02333;+14.84083; 1.79e-01
J000806.3+475659;002.02625;+47.94972; 2.19e-01
J000813.3-005752;002.05542;-00.96444; 5.08e-02
J000818.4+512319;002.07667;+51.38861; 9.61e-01
J000826.8+063712;002.11167;+06.62000; 1.97e-01
J000827.2-405137;002.11333;-40.86042; 8.99e-02
J000830.5-155825;002.12708;-15.97375; 1.49e-01
J000835.4-233917;002.14750;-23.65472; 2.33e-01
J000846.6-464920;002.19417;-46.82222; 1.20e-01
J000849.3+455316;002.20542;+45.88778; 8.66e-02
J000854.3+205031;002.22625;+20.84194; 8.99e-02
J000855.4-642315;002.23083;-64.38764; 6.90e-02
J000856.1+411034;002.23375;+41.17625; 1.60e-01
J000858.4-235305;002.24333;-23.88486; 5.00e-02
J000900.2-014442;002.25083;-01.74500; 1.75e-01
J000904.7-103432;002.26958;-10.57569; 8.55e-02
J000909.6-231137;002.29000;-23.19361; 5.76e-02
J000910.1+590903;002.29208;+59.15097; 1.62e-01
J000915.0+243758;002.31250;+24.63278; 1.18e-01
J000921.2+003809;002.33833;+00.63597; 1.14e-01
J000934.5+180344;002.39375;+18.06222; 7.82e-02
J000938.0-344325;002.40833;-34.72375; 8.95e-02
J000944.8-420118;002.43667;-42.02167; 8.68e-02
J000950.7-431653;002.46125;-43.28153; 1.28e-01
J000951.4+082717;002.46417;+08.45486; 8.97e-02
J000952.8-351647;002.47000;-35.27972; 8.17e-02
J000953.0+371906;002.47083;+37.31833; 8.25e-02
J000956.6+134110;002.48583;+13.68625; 7.09e-02
J001000.6+490655;002.50250;+49.11528; 5.07e-02
J001002.8+110845;002.51167;+11.14583; 1.87e-01
J001004.6-115254;002.51917;-11.88181; 5.56e-02
J001009.3-592120;002.53875;-59.35556; 1.63e-01
J001010.2-044225;002.54250;-04.70694; 2.21e-01
J001011.5+643837;002.54792;+64.64375; 9.08e-02
J001016.5-153215;002.56875;-15.53750; 7.15e-02
J001020.5-061703;002.58542;-06.28417; 8.00e-02
J001028.0-760320;002.61667;-76.05569; 2.15e-01
J001031.3+105832;002.63042;+10.97569; 4.80e-01
J001041.5-314128;002.67292;-31.69111; 6.02e-02
J001042.0-203916;002.67500;-20.65458; 1.27e-01
J001049.7-081717;002.70708;-08.28819; 1.02e-01
J001051.3-341329;002.71375;-34.22486; 5.48e-02
J001052.2+290935;002.71750;+29.15972; 5.49e-02
J001118.5-285126;002.82708;-28.85736; 8.89e-01
J001120.3-324219;002.83479;-32.70540; 6.95e-02
J001121.2+373919;002.83833;+37.65542; 1.26e-01
J001121.7+302658;002.84042;+30.44944; 1.13e-01
J001122.0-211432;002.84167;-21.24236; 2.28e-01
J001124.6-112843;002.85250;-11.47861; 6.46e-01
J001131.1-444129;002.87958;-44.69153; 1.25e-01
J001143.0-152312;002.92917;-15.38667; 1.38e-01
J001144.5+322441;002.93542;+32.41153; 3.80e-01
J001145.3+523147;002.93875;+52.52986; 5.05e-02
J001151.9+322803;002.96625;+32.46750; 1.54e-01
J001152.7-323808;002.96958;-32.63556; 7.27e-02
J001152.8+225914;002.97000;+22.98722; 4.11e-01
J001201.7+290324;003.00708;+29.05680; 6.71e-02
J001208.2-155031;003.03417;-15.84208; 9.42e-01
J001213.2+092919;003.05500;+09.48861; 7.35e-02
J001216.3-054335;003.06792;-05.72653; 5.94e-02
J001219.0+100602;003.07917;+10.10056; 6.21e-02
J001229.4+143358;003.12250;+14.56625; 1.04e+00
J001234.8-041633;003.14500;-04.27583; 6.91e-02
J001234.8-162809;003.14500;-16.46931; 1.00e-01
J001238.1+021243;003.15875;+02.21208; 6.25e-02
J001248.7-084705;003.20292;-08.78472; 1.23e-01
J001251.7-185012;003.21542;-18.83681; 5.72e-02
J001258.1-795214;003.24208;-79.87055; 2.13e-01
J001302.4-323839;003.26000;-32.64417; 8.45e-02
J001308.9-002548;003.28708;-00.43014; 8.20e-02
J001309.6+053550;003.29000;+05.59722; 4.24e-01
J001319.0-052235;003.32917;-05.37653; 7.99e-02
J001322.7-170053;003.34458;-17.01486; 6.36e-02
J001327.2-312337;003.36333;-31.39361; 7.43e-02
J001328.4+094942;003.36833;+09.82833; 1.71e-01
J001332.5+405132;003.38542;+40.85889; 6.62e-02
J001334.1-344318;003.39208;-34.72167; 9.35e-02
J001337.1-193002;003.40458;-19.50056; 2.96e-01
J001337.6+770210;003.40667;+77.03625; 1.00e-01
J001342.6+081132;003.42750;+08.19236; 5.58e-02
J001354.6-744122;003.47750;-74.68958; 5.18e-01
J001356.6-185408;003.48583;-18.90222; 6.24e-01
J001357.0-462253;003.48750;-46.38139; 1.07e-01
J001357.7+350233;003.49042;+35.04264; 9.43e-02
J001358.9-233822;003.49542;-23.63958; 7.28e-02
J001359.1-222340;003.49625;-22.39444; 7.34e-02
J001409.3+085822;003.53875;+08.97292; 8.57e-02
J001409.9+304928;003.54125;+30.82458; 7.60e-02
J001410.1-071200;003.54208;-07.20000; 2.65e-01
J001411.8-502243;003.54917;-50.37875; 7.79e-01
J001418.8-660426;003.57833;-66.07403; 2.45e-01
J001419.1-302216;003.57958;-30.37111; 3.79e-01
J001420.2+261630;003.58417;+26.27514; 7.87e-02
J001420.5+085411;003.58542;+08.90319; 5.21e-02
J001421.5-244455;003.58958;-24.74861; 7.42e-02
J001428.5+133109;003.61875;+13.51917; 1.44e-01
J001440.8+062231;003.67000;+06.37528; 5.24e-02
J001442.2+580201;003.67583;+58.03375; 8.47e-02
J001449.4-202423;003.70583;-20.40653; 5.95e-02
J001452.7+270549;003.71958;+27.09694; 1.71e-01
J001453.6-600359;003.72333;-60.06653; 1.63e-01
J001454.6-155215;003.72750;-15.87083; 5.35e-02
J001500.2+331515;003.75083;+33.25417; 5.61e-02
J001500.2-403617;003.75083;-40.60472; 9.36e-02
J001503.5-725027;003.76458;-72.84084; 3.01e-01
J001512.1-141220;003.80042;-14.20556; 5.96e-02
J001521.9-151007;003.84125;-15.16875; 8.28e-02
J001524.0-151346;003.85000;-15.22958; 6.94e-02
J001528.3+353641;003.86792;+35.61153; 1.11e-01
J001528.8-641501;003.87000;-64.25027; 1.05e-01
J001529.6-391300;003.87333;-39.21667; 1.25e-01
J001530.2+172009;003.87583;+17.33583; 7.23e-02
J001531.7+461824;003.88208;+46.30667; 6.66e-02
J001535.9+480117;003.89958;+48.02139; 6.53e-02
J001539.8-521602;003.91583;-52.26722; 1.16e-01
J001541.3+555141;003.92208;+55.86153; 1.76e-01
J001552.5-250947;003.96875;-25.16306; 1.18e-01
J001554.7-172843;003.97792;-17.47861; 1.44e-01
J001556.5+053724;003.98542;+05.62333; 8.12e-02
J001557.5-163659;003.98958;-16.61639; 1.48e-01
J001610.8-143528;004.04500;-14.59125; 9.60e-02
J001612.7-795100;004.05292;-79.85014; 3.88e-01
J001614.0+195142;004.05833;+19.86167; 3.50e-01
J001618.0-444646;004.07500;-44.77958; 1.12e-01
J001620.4-143008;004.08500;-14.50236; 1.27e-01
J001627.2-062555;004.11333;-06.43208; 5.59e-02
J001630.7+054626;004.12792;+05.77403; 6.82e-02
J001633.2-054227;004.13833;-05.70764; 1.01e-01
J001642.5-312658;004.17708;-31.44958; 1.78e-01
J001645.5+064704;004.18958;+06.78444; 5.41e-02
J001650.6-071013;004.21083;-07.17028; 1.08e-01
J001659.7+113725;004.24875;+11.62361; 6.00e-02
J001704.2-044731;004.26750;-04.79194; 7.65e-02
J001705.7+405644;004.27375;+40.94569; 5.23e-02
J001710.2+813507;004.29250;+81.58542; 5.79e-02
J001711.1+293159;004.29625;+29.53319; 1.43e-01
J001713.6+023702;004.30667;+02.61722; 5.76e-02
J001714.7-300131;004.31125;-30.02542; 9.44e-02
J001716.3-703206;004.31792;-70.53514; 1.23e-01
J001723.4-664507;004.34750;-66.75195; 2.13e-01
J001726.8-715030;004.36167;-71.84167; 1.08e-01
J001728.2+794747;004.36750;+79.79639; 5.95e-02
J001736.1-051254;004.40042;-05.21500; 6.81e-02
J001738.8-351230;004.41167;-35.20847; 6.10e-02
J001739.0+014043;004.41250;+01.67875; 6.04e-02
J001739.1+120242;004.41292;+12.04500; 9.66e-02
J001745.3-010255;004.43875;-01.04861; 9.73e-02
J001745.8+013614;004.44083;+01.60389; 1.22e-01
J001745.8-452602;004.44083;-45.43403; 1.17e-01
J001748.0-670849;004.45000;-67.14709; 8.63e-02
J001807.6-201335;004.53167;-20.22653; 5.34e-02
J001807.7+105453;004.53208;+10.91472; 6.09e-02
J001821.2+305723;004.58833;+30.95639; 1.51e+00
J001821.4-334421;004.58917;-33.73931; 5.01e-02
J001821.7+011859;004.59042;+01.31639; 1.38e-01
J001821.7-211200;004.59042;-21.20000; 1.16e-01
J001821.8+440129;004.59083;+44.02486; 2.60e-01
J001823.8+300357;004.59917;+30.06597; 1.21e-01
J001825.5+232432;004.60625;+23.40903; 2.39e-01
J001826.2-632837;004.60917;-63.47709; 2.64e-01
J001827.8+294730;004.61583;+29.79167; 4.61e-01
J001832.0+162634;004.63333;+16.44292; 7.30e-02
J001833.9-062840;004.64125;-06.47778; 6.29e-02
J001838.6+045107;004.66083;+04.85194; 5.47e-02
J001857.2-074346;004.73833;-07.72944; 6.54e-02
J001859.7-405128;004.74875;-40.85792; 6.92e-02
J001859.8+061937;004.74917;+06.32708; 5.22e-02
J001906.0-202638;004.77500;-20.44389; 1.60e-01
J001915.4+074816;004.81417;+07.80458; 5.77e-02
J001919.7+590823;004.83208;+59.13972; 1.21e-01
J001928.1-815247;004.86708;-81.87986; 1.36e-01
J001934.6-402523;004.89417;-40.42305; 8.44e-02
J001936.2-071325;004.90083;-07.22375; 1.44e-01
J001937.0+260316;004.90417;+26.05458; 1.63e-01
J001938.0+033646;004.90833;+03.61278; 1.24e-01
J001942.4+195126;004.92667;+19.85722; 7.43e-02
J001950.0+215651;004.95833;+21.94764; 2.00e+00
J001952.1-274431;004.96708;-27.74208; 6.93e-02
J001955.2-063816;004.98000;-06.63792; 5.11e-02
J002001.1+275949;005.00458;+27.99694; 9.68e-02
J002007.2+324423;005.03000;+32.73986; 8.28e-02
J002010.8+013302;005.04500;+01.55069; 3.08e-01
J002012.0-341630;005.05000;-34.27514; 7.53e-02
J002013.6+345454;005.05667;+34.91514; 6.90e-02
J002020.7+103451;005.08625;+10.58083; 3.10e-01
J002031.3+401323;005.13042;+40.22306; 8.06e-02
J002032.2+022859;005.13417;+02.48306; 6.76e-02
J002039.5+284027;005.16458;+28.67430; 3.86e-01
J002040.5-693736;005.16875;-69.62681; 6.41e-02
J002041.8-254307;005.17417;-25.71861; 2.92e-01
J002047.2+571151;005.19667;+57.19750; 1.43e-01
J002048.5-253823;005.20208;-25.63986; 5.63e-02
J002052.4+554213;005.21833;+55.70361; 6.76e-02
J002100.9-245047;005.25375;-24.84639; 6.67e-02
J002108.1-190950;005.28375;-19.16389; 1.05e-01
J002108.6+375801;005.28583;+37.96695; 8.25e-02
J002109.1+445655;005.28792;+44.94875; 1.29e-01
J002116.4+505315;005.31833;+50.88764; 7.02e-02
J002120.7-205027;005.33625;-20.84097; 7.99e-02
J002123.2+334236;005.34667;+33.71000; 7.61e-02
J002127.8-110058;005.36583;-11.01625; 5.73e-02
J002130.1-285853;005.37542;-28.98153; 2.09e-01
J002133.0-341012;005.38750;-34.17000; 2.83e-01
J002136.8+280305;005.40333;+28.05153; 1.60e-01
J002137.3-460526;005.40542;-46.09069; 1.00e+00
J002147.4+000036;005.44750;+00.01014; 1.91e-01
J002150.5+644850;005.46042;+64.81403; 5.34e-02
J002153.7-402531;005.47375;-40.42528; 5.26e-02
J002158.0+491245;005.49167;+49.21264; 7.37e-02
J002159.2-514028;005.49667;-51.67458; 3.22e-01
J002200.9+000659;005.50375;+00.11639; 9.73e-02
J002202.0-393034;005.50833;-39.50958; 6.12e-02
J002203.7-101628;005.51542;-10.27444; 1.35e-01
J002209.2-185333;005.53833;-18.89250; 6.92e-02
J002211.8+410051;005.54917;+41.01431; 6.34e-02
J002211.9-134911;005.54958;-13.81972; 7.77e-02
J002216.8-094339;005.57000;-09.72764; 5.70e-02
J002233.8-340722;005.64083;-34.12292; 4.18e-01
J002246.1-380635;005.69208;-38.10972; 8.92e-02
J002246.7-091332;005.69458;-09.22569; 6.55e-02
J002248.3-320812;005.70125;-32.13667; 6.07e-02
J002249.7+804409;005.70708;+80.73583; 8.06e-02
J002252.2-121233;005.71750;-12.20917; 2.89e-01
J002258.3+614111;005.74292;+61.68653; 8.41e-02
J002301.4-330719;005.75583;-33.12208; 9.48e-02
J002310.0+322937;005.79167;+32.49375; 6.44e-02
J002311.6-194556;005.79833;-19.76569; 6.24e-02
J002316.1-142301;005.81708;-14.38361; 7.05e-02
J002326.4+282058;005.86000;+28.34945; 5.20e-02
J002328.2-204151;005.86750;-20.69750; 5.26e-02
J002330.0+154733;005.87500;+15.79250; 7.34e-02
J002330.5-722042;005.87708;-72.34514; 9.50e-02
J002332.4-011437;005.88500;-01.24375; 7.22e-02
J002334.9+201418;005.89542;+20.23847; 1.76e-01
J002337.1+044220;005.90458;+04.70556; 2.13e-01
J002339.6-175352;005.91500;-17.89778; 1.17e-01
J002353.4-025152;005.97250;-02.86458; 8.88e-02
J002354.0+605743;005.97500;+60.96208; 4.15e-01
J002355.9-180254;005.98292;-18.04833; 1.79e-01
J002403.6-170413;006.01500;-17.07042; 9.64e-02
J002404.6-720456;006.01917;-72.08236; 2.11e-01
J002408.2-682055;006.03417;-68.34875; 1.37e-01
J002415.6+603454;006.06500;+60.58181; 8.18e-02
J002427.7+054247;006.11542;+05.71306; 1.60e-01
J002429.1-291734;006.12125;-29.29292; 6.45e-02
J002430.5-292856;006.12708;-29.48236; 2.66e-01
J002433.0+331237;006.13750;+33.21028; 9.70e-02
J002433.7-204112;006.14042;-20.68667; 6.15e-02
J002434.4-171035;006.14333;-17.17653; 7.31e-02
J002435.4+300220;006.14750;+30.03903; 6.50e-02
J002445.3+082047;006.18875;+08.34639; 6.01e-02
J002450.3+135633;006.20958;+13.94264; 7.09e-02
J002453.0+065652;006.22083;+06.94778; 7.83e-02
J002502.7-452941;006.26125;-45.49472; 9.40e-01
J002504.3-364623;006.26792;-36.77306; 1.39e-01
J002508.6+684813;006.28583;+68.80361; 1.23e-01
J002508.7-043456;006.28625;-04.58236; 1.16e-01
J002509.2+640946;006.28833;+64.16278; 1.14e+01
J002510.8+121725;006.29500;+12.29028; 6.32e-02
J002516.3-205125;006.31792;-20.85695; 2.54e-01
J002528.2-184818;006.36750;-18.80500; 3.24e-01
J002529.7-283430;006.37375;-28.57500; 6.35e-02
J002529.8-122247;006.37417;-12.37972; 6.72e-02
J002532.6+045351;006.38583;+04.89764; 7.66e-02
J002534.9-330255;006.39542;-33.04861; 2.50e-01
J002542.6-190009;006.42750;-19.00264; 2.99e-01
J002548.8+450136;006.45333;+45.02667; 6.00e-02
J002552.2-095756;006.46750;-09.96569; 5.45e-02
J002553.5+083724;006.47292;+08.62347; 7.51e-02
J002605.4-185456;006.52250;-18.91570; 1.34e-01
J002606.8-154217;006.52833;-15.70486; 6.05e-02
J002627.0-513801;006.61250;-51.63375; 3.05e-01
J002630.2-084223;006.62583;-08.70639; 6.83e-02
J002631.4-184002;006.63083;-18.66736; 5.42e-02
J002632.1-342527;006.63375;-34.42417; 5.39e-02
J002636.3-460101;006.65125;-46.01708; 8.94e-01
J002640.2-530944;006.66750;-53.16236; 1.28e-01
J002648.1-682620;006.70042;-68.43903; 1.14e-01
J002651.2-015912;006.71333;-01.98681; 5.39e-02
J002708.6-075238;006.78583;-07.87722; 1.04e-01
J002709.5-192616;006.78958;-19.43778; 6.18e-02
J002710.6-113651;006.79417;-11.61431; 5.08e-02
J002711.8-270908;006.79917;-27.15236; 2.31e-01
J002718.3-164708;006.82625;-16.78569; 7.33e-02
J002720.7-501457;006.83625;-50.24917; 2.21e-01
J002723.5-213325;006.84792;-21.55708; 1.17e-01
J002724.1-122928;006.85042;-12.49125; 5.12e-02
J002728.9+260719;006.87042;+26.12194; 7.23e-02
J002734.6+284220;006.89417;+28.70555; 5.77e-02
J002743.2-412612;006.93000;-41.43681; 2.45e-01
J002743.7-330325;006.93208;-33.05708; 9.31e-02
J002750.4-323317;006.96000;-32.55486; 3.50e-01
J002751.9+261627;006.96625;+26.27417; 6.81e-02
J002806.2-063208;007.02583;-06.53556; 5.98e-02
J002809.8+184937;007.04083;+18.82708; 7.39e-02
J002811.6+310342;007.04833;+31.06167; 1.68e-01
J002813.5-322801;007.05625;-32.46708; 6.03e-02
J002813.6-753732;007.05667;-75.62556; 5.88e-02
J002815.8+433909;007.06583;+43.65264; 5.18e-02
J002816.2-354212;007.06750;-35.70333; 1.96e-01
J002816.7+634357;007.06958;+63.73264; 3.14e-01
J002821.4-202004;007.08917;-20.33444; 1.76e-01
J002822.9-455159;007.09542;-45.86653; 9.62e-02
J002824.2-292414;007.10083;-29.40389; 8.14e-02
J002827.3-291704;007.11375;-29.28444; 5.22e-02
J002828.1-002749;007.11708;-00.46375; 6.86e-02
J002834.6+492835;007.14417;+49.47639; 1.97e-01
J002836.2-233849;007.15083;-23.64708; 1.74e-01
J002845.1-573305;007.18792;-57.55139; 1.59e-01
J002848.2+591723;007.20083;+59.28972; 5.18e-01
J002849.6-405424;007.20667;-40.90681; 1.33e-01
J002854.1+502226;007.22542;+50.37389; 2.32e-01
J002902.7+195717;007.26125;+19.95472; 8.17e-02
J002908.8-223629;007.28667;-22.60806; 1.17e-01
J002913.9+131605;007.30792;+13.26819; 4.70e-01
J002914.7+415257;007.31125;+41.88264; 6.07e-02
J002922.4+505159;007.34333;+50.86639; 7.40e-02
J002932.6-374133;007.38583;-37.69250; 7.59e-02
J002937.9-310205;007.40792;-31.03472; 2.71e-01
J002941.1-165408;007.42125;-16.90222; 5.18e-02
J002945.9-150921;007.44125;-15.15583; 6.76e-02
J002958.0-632500;007.49167;-63.41667; 3.11e+00
J003000.7-202855;007.50292;-20.48208; 9.54e-02
J003002.1-334546;007.50875;-33.76292; 1.27e-01
J003005.8-200519;007.52417;-20.08861; 7.71e-02
J003007.5+372601;007.53125;+37.43361; 6.31e-02
J003017.9-532554;007.57458;-53.43180; 1.43e-01
J003019.6-164723;007.58167;-16.78986; 6.44e-02
J003022.2-125503;007.59250;-12.91764; 5.85e-02
J003025.8-481245;007.60750;-48.21264; 2.24e+00
J003026.6-341627;007.61083;-34.27417; 5.53e-02
J003032.3-623547;007.63458;-62.59653; 3.91e-01
J003037.6-241053;007.65667;-24.18153; 1.09e-01
J003041.2-132130;007.67167;-13.35833; 8.04e-02
J003057.5-655020;007.73958;-65.83903; 6.53e-02
J003059.3-115300;007.74708;-11.88333; 5.22e-02
J003106.7-351532;007.77792;-35.25889; 5.42e-02
J003120.6-233358;007.83583;-23.56625; 6.09e-02
J003121.2+301558;007.83833;+30.26611; 5.00e-02
